Unique accounts	Number of txs	Sum Ethers	Average
0x005e43fe0ac4ff939a8abe926597ae6b31c601d3	2	1.977985302	
0x8ebe90e336bf4f696a18e92cc32d14600561dbf3	2	4	
0x11146077ec4f175294c353e6ce4ec0ecaa604996	2	0.5	
0x908a4c9d2f8167735d9c4801663134b2475f48d2	2	0.07	
0x141ce67eebbd54d299914cac1d48298ecaacbbc7	2	0.089828549	
0x927abc0177efa3d1fdf2072f3cbb821a1ab92298	2	2.05	
0x5de3314dff7dcc54992bf76a225cd1b03f8ed5a9	2	4.53	
0x9635a82eb9edbf5f14e18970529b6d0ba7b36292	2	5	
0x5e2500c26fa3a2f480c8935d102cb26035fe8571	2	20	
0x97f7a7a2be94c362bc0f1e1171c5aad8ec09f874	2	2.9	
0x5e3310cdd919d7943c51a2d184db2c0721df0a23	2	28	
0x0009b736831afa2fd0c6803b5d02ccbabb3e8e1a	2	1	
0x5edb149cd0a843ce7dd41988a50da470d37799fb	2	10	
0x9903322124677c2aaf289eec5117bfa8aeac3f42	2	0.31	
0x63e56999df300abbcab1556a739cb1ac9aaeb459	2	50	
0x9b4f8add832e40687f713e60fe1996f59ccee6ff	2	0.29	
0x65b5476b10463227fd2ff82eb2dd2e1f55915c24	2	11	
0x9cfc8a1ef84b0f80694bacce3021afaad135b580	2	0.1	
0x66303617ab8f2179ded380e53eef1d88ad12ac78	2	14.98	
0x00cc3141cfcc2850aa11cea373bdf84e4e44d481	2	0.18	
0x665530c0d5423320e13f1c292e5b06cd0a4991f6	2	1.5	
0x9fd6c1fe0a2e09aa7fbf0f5a2b39f865e154c7d1	2	3	
0x05821ac99f9b68ef588f68d1839d2b3bafb72f98	2	5	
0xa234cd820e0878ec67b5a1c3597f137950b07ae4	2	0.97	
0x671e1cbec4bd1610cc6eb50626bb41bf7ec47c7e	2	200	
0xa343b496a6cf6e80c2e2103b5cd4194288c67cd4	2	10	
0x677e6ca11eecc25ee82192efb0c1973724b7f940	2	30.08	
0xa39471f4b88202e9fcb60b328a8f1b55715e91c9	2	3	
0x157b572688203e703b7aad5e460c1d19a07ade97	2	0.38	
0x25b462be635cefed3ff5f64efa8dd4d6c519b431	2	3.63	
0x68877a62f7084ce26e96b15229b3a4b8ceabdc97	2	28.562	
0xab67fc5969a6cc51a33dbcf40a6527b1fc5c4df2	2	12	
0x6922d4955db65dc5c1108fdd6a5de731c3eb0ee5	2	8.037120268	
0xad7edd37e9f737ef4b4a7496e0218f9ae68a676b	2	1.37	
0x162b105ae23536c444634929a06c7639879cba22	2	3.5	
